prompt_text,complexity_label
What is 7 multiplied by 8?,simple
Explain the concept of database normalization and the first three normal forms.,moderate
Write a Python class that implements a min-heap data structure from scratch.,complex
Write a Python class that implements a thread pool executor from scratch using only the threading module.,complex
How many continents are there?,simple
Summarize the main ideas behind agile software development.,moderate
Explain how MapReduce works for distributed data processing.,moderate
What is the currency of Japan?,simple
Explain how neural networks learn from data.,moderate
What is the tallest mountain in the world?,simple
What is the difference between strong and weak typing in programming languages?,moderate
Implement a rate limiter in Python using the token bucket algorithm.,complex
What language is spoken in Brazil?,simple
What does RAM stand for in computing?,simple
How would you design a distributed job scheduler that guarantees each job runs exactly once even if nodes fail?,complex
What is the plural of matrix?,simple
How would you design the infrastructure for a machine learning model serving system that handles 10k requests per second?,complex
Design a system for real-time analytics on a stream of user click events at 1 million events per second.,complex
Compare the Agile and Waterfall project management methodologies.,moderate
Design an A/B testing framework that handles multiple simultaneous experiments with statistical significance tracking.,complex
How would you approach debugging a production system experiencing intermittent latency spikes with no obvious pattern?,complex
Summarize the key differences between machine learning and deep learning.,moderate
What is the speed of light?,simple
What color is the sky on a clear day?,simple
Write a Python generator that lazily parses a large XML file and yields records one at a time.,complex
Write a recursive descent parser in Python for a simple arithmetic expression language.,complex
How would you debug a memory leak in a long-running Python web service? Walk through your investigation step by step.,complex
Who discovered penicillin?,simple
How many days are in a leap year?,simple
What is the capital of France?,simple
How would you implement a full-text search engine from scratch? Describe the indexing and query pipeline.,complex
How does rate limiting work in an API and why is it important?,moderate
What is the capital of Germany?,simple
Explain how event-driven programming works.,moderate
What is the difference between a process and a thread?,moderate
Compare Docker containers vs virtual machines. What are the trade-offs?,moderate
Who invented the telephone?,simple
Implement a simple neural network in Python using only NumPy for binary classification.,complex
What does PDF stand for?,simple
Who painted The Starry Night?,simple
What is the SI unit of electric current?,simple
Explain what CORS is and why browsers enforce it.,moderate
What does DNS stand for?,simple
Implement a bloom filter in Python and explain when you would use it over a hash set.,complex
Design a distributed caching layer for a high-traffic e-commerce platform and explain cache invalidation.,complex
How does a CDN improve website performance?,moderate
Design a system to detect duplicate images at scale. What algorithms and infrastructure would you use?,complex
What is the square root of 144?,simple
Implement a consistent hashing algorithm in Python for distributing requests across servers.,complex
Implement the merge sort algorithm in Python and analyze its time and space complexity.,complex
Describe what makes a RESTful API RESTful and what constraints must it follow?,moderate
Debug the following Python code that should reverse a linked list but has a bug.,complex
Design a schema and API for a multi-level comment system. Handle deep nesting and efficient retrieval.,complex
Implement a basic LRU cache in Python with O(1) get and put operations.,complex
Explain how you would migrate a monolithic Rails application to microservices with zero downtime.,complex
Describe the Model-View-Controller (MVC) architectural pattern.,moderate
What does CPU stand for?,simple
List the primary colors.,simple
Explain the concept of recursion in programming with a simple example.,moderate
Implement a graph traversal algorithm to detect cycles in a directed graph.,complex
What year did the Berlin Wall fall?,simple
Explain how HTTPS works and why it is more secure than HTTP.,moderate
Describe how pub/sub messaging systems work.,moderate
How does a hash table work and what makes a good hash function?,moderate
Write a Python script that monitors a directory for file changes and triggers a callback function on any modification.,complex
What is the largest planet in the solar system?,simple
How does version control with Git help teams collaborate on software projects?,moderate
How does the garbage collector work in Python?,moderate
What are the pros and cons of using microservices vs a monolithic architecture?,moderate
What are design patterns and why are they useful? Name three common ones.,moderate
Explain the difference between supervised and unsupervised learning.,moderate
What does HTML stand for?,simple
