"prompt_text","complexity_label"
"What is the capital of France?","simple"
"What is 7 multiplied by 8?","simple"
"Who wrote Romeo and Juliet?","simple"
"What does HTTP stand for?","simple"
"What is the boiling point of water in Celsius?","simple"
"Define the word ephemeral.","simple"
"What is the currency of Japan?","simple"
"What year did World War II end?","simple"
"How many days are in a leap year?","simple"
"What is the chemical symbol for gold?","simple"
"What color is the sky on a clear day?","simple"
"Who invented the telephone?","simple"
"What is the largest planet in the solar system?","simple"
"Convert 100 degrees Fahrenheit to Celsius.","simple"
"What is the speed of light?","simple"
"What is the capital of Australia?","simple"
"Who painted the Mona Lisa?","simple"
"What does CPU stand for?","simple"
"What is the square root of 144?","simple"
"Define photosynthesis in one sentence.","simple"
"What language is spoken in Brazil?","simple"
"How many continents are there?","simple"
"What does RAM stand for in computing?","simple"
"Who is the current CEO of Tesla?","simple"
"What is the plural of matrix?","simple"
"List the primary colors.","simple"
"What is the SI unit of electric current?","simple"
"Name the three branches of the US government.","simple"
"What does PDF stand for?","simple"
"Convert 5 kilometers to miles.","simple"
"What is the atomic number of carbon?","simple"
"What year was the iPhone first released?","simple"
"Who wrote 1984?","simple"
"What is the tallest mountain in the world?","simple"
"Define algorithm.","simple"
"What does API stand for?","simple"
"What is the largest ocean on Earth?","simple"
"Who discovered penicillin?","simple"
"What is 15% of 200?","simple"
"What does HTML stand for?","simple"
"How many bytes are in a kilobyte?","simple"
"What is the freezing point of water in Fahrenheit?","simple"
"Who is the author of the Harry Potter series?","simple"
"What does DNS stand for?","simple"
"What is the capital of Germany?","simple"
"How many sides does a hexagon have?","simple"
"What year did the Berlin Wall fall?","simple"
"What does VPN stand for?","simple"
"Who painted The Starry Night?","simple"
"What is the capital of Canada?","simple"
"Explain how HTTPS works and why it is more secure than HTTP.","moderate"
"Compare SQL and NoSQL databases and explain when you would choose each.","moderate"
"Summarize the key differences between machine learning and deep learning.","moderate"
"How does a binary search algorithm work? Explain with an example.","moderate"
"What are the main causes of inflation and how does central bank policy address it?","moderate"
"Explain the concept of recursion in programming with a simple example.","moderate"
"Compare REST and GraphQL APIs and when would you choose one over the other?","moderate"
"How does the human immune system respond to a bacterial infection?","moderate"
"Explain the difference between supervised and unsupervised learning.","moderate"
"What are the pros and cons of using microservices vs a monolithic architecture?","moderate"
"Describe how TCP/IP works and how data packets travel across the internet.","moderate"
"What is object-oriented programming and what are its four main principles?","moderate"
"Explain how a relational database index improves query performance.","moderate"
"Describe the difference between concurrency and parallelism in programming.","moderate"
"How does the garbage collector work in Python?","moderate"
"Explain the concept of a blockchain in simple terms.","moderate"
"Compare synchronous and asynchronous programming. When is async preferred?","moderate"
"What are the main differences between Python 2 and Python 3?","moderate"
"How does version control with Git help teams collaborate on software projects?","moderate"
"Explain the CAP theorem and its implications for distributed systems.","moderate"
"Summarize the main ideas behind agile software development.","moderate"
"Describe how OAuth 2.0 authentication works.","moderate"
"What is the difference between a stack and a queue data structure?","moderate"
"Explain how neural networks learn from data.","moderate"
"Compare Docker containers vs virtual machines. What are the trade-offs?","moderate"
"How does rate limiting work in an API and why is it important?","moderate"
"What is the difference between strong and weak typing in programming languages?","moderate"
"Explain how SSL/TLS certificates work.","moderate"
"How does a hash table work and what makes a good hash function?","moderate"
"What are the SOLID principles in software design?","moderate"
"Explain what Big O notation means and why it matters for algorithms.","moderate"
"Describe the Model-View-Controller (MVC) architectural pattern.","moderate"
"What is the difference between a process and a thread?","moderate"
"Explain how MapReduce works for distributed data processing.","moderate"
"What is the difference between authentication and authorization?","moderate"
"Compare eager loading and lazy loading in web applications.","moderate"
"What is the difference between a primary key and a foreign key in a database?","moderate"
"Explain how event-driven programming works.","moderate"
"What is the difference between mutable and immutable objects in Python?","moderate"
"Describe what makes a RESTful API RESTful and what constraints must it follow?","moderate"
"Explain how load balancing works in distributed systems.","moderate"
"Compare the Agile and Waterfall project management methodologies.","moderate"
"Explain what a decision tree classifier does and how it splits data.","moderate"
"What is the difference between precision and recall in classification tasks?","moderate"
"Describe how pub/sub messaging systems work.","moderate"
"Explain what CORS is and why browsers enforce it.","moderate"
"What is a race condition and how can you prevent it in multithreaded code?","moderate"
"Compare L1 and L2 regularization in machine learning.","moderate"
"How does a CDN improve website performance?","moderate"
"Explain the concept of database normalization and the first three normal forms.","moderate"
"What are design patterns and why are they useful? Name three common ones.","moderate"
"Write a Python function that takes a list of integers and returns all prime numbers in that list.","complex"
"Design a URL shortener service. Describe the system architecture and key trade-offs.","complex"
"Debug the following Python code that should reverse a linked list but has a bug.","complex"
"Write a recursive function in Python to solve the Tower of Hanoi problem for N disks.","complex"
"Design a distributed caching layer for a high-traffic e-commerce platform and explain cache invalidation.","complex"
"Implement a thread-safe singleton pattern in Python.","complex"
"Write a Python class that implements a min-heap data structure from scratch.","complex"
"How would you architect a real-time collaborative document editor? Explain the key components and challenges.","complex"
"Write a Python script that reads a CSV file with 1M rows and computes per-group statistics without loading the entire file into memory.","complex"
"Implement a rate limiter in Python using the token bucket algorithm.","complex"
"Design a notification system that delivers messages to millions of users across email, SMS, and push channels.","complex"
"Write a Python decorator that retries a function call up to 3 times with exponential backoff on failure.","complex"
"Explain how you would migrate a monolithic Rails application to microservices with zero downtime.","complex"
"Implement a basic LRU cache in Python with O(1) get and put operations.","complex"
"Write a SQL query to find the top 3 customers by revenue in each region using window functions.","complex"
"Design a system to detect duplicate images at scale. What algorithms and infrastructure would you use?","complex"
"Write a Python function that flattens an arbitrarily nested JSON object into a single-level dictionary with dot-notation keys.","complex"
"How would you implement a full-text search engine from scratch? Describe the indexing and query pipeline.","complex"
"Implement Dijkstra shortest path algorithm in Python and explain the time complexity.","complex"
"Design a multi-tenant SaaS database schema. How do you isolate tenant data and handle migrations?","complex"
"Write a Python context manager that measures and logs the execution time of a code block.","complex"
"Analyze the trade-offs between using a relational vs graph database for a social network application with billions of user connections.","complex"
"Implement a basic MapReduce framework in Python that can run word count on a large text file.","complex"
"Design an event sourcing system for a banking application. How do you handle consistency and replay?","complex"
"Write a Python generator that lazily parses a large XML file and yields records one at a time.","complex"
"How would you design the backend for a ride-sharing app? Focus on real-time location tracking and matching.","complex"
"Implement a trie data structure in Python and use it to build an autocomplete feature.","complex"
"Write a recursive descent parser in Python for a simple arithmetic expression language.","complex"
"Design a chaos engineering experiment for a payment processing service. What failures would you inject and why?","complex"
"Implement a consistent hashing algorithm in Python for distributing requests across servers.","complex"
"How would you approach debugging a production system experiencing intermittent latency spikes with no obvious pattern?","complex"
"Write a Python program that uses asyncio to concurrently fetch data from 100 URLs and aggregate the results.","complex"
"Design an A/B testing framework that handles multiple simultaneous experiments with statistical significance tracking.","complex"
"Implement a simple neural network in Python using only NumPy for binary classification.","complex"
"Write a Python function to parse and evaluate a mathematical expression given as a string supporting standard operators.","complex"
"How would you design the infrastructure for a machine learning model serving system that handles 10k requests per second?","complex"
"Implement a graph traversal algorithm to detect cycles in a directed graph.","complex"
"Design a schema and API for a multi-level comment system. Handle deep nesting and efficient retrieval.","complex"
"Write a Python function that efficiently finds all permutations of a string without using built-in permutation functions.","complex"
"How would you design a distributed job scheduler that guarantees each job runs exactly once even if nodes fail?","complex"
"Implement a bloom filter in Python and explain when you would use it over a hash set.","complex"
"Write a Python metaclass that automatically validates type annotations on class attributes at instantiation time.","complex"
"Design a fraud detection system for a financial platform. What features would you extract and what models would you use?","complex"
"How would you migrate 10 terabytes of data from one database schema to another with minimal downtime?","complex"
"Implement the merge sort algorithm in Python and analyze its time and space complexity.","complex"
"Write a Python script that monitors a directory for file changes and triggers a callback function on any modification.","complex"
"Design a system for real-time analytics on a stream of user click events at 1 million events per second.","complex"
"How would you approach building a recommendation system for a video streaming platform? Walk through the full pipeline.","complex"
"Implement a simple version of Python asyncio event loop to demonstrate cooperative multitasking.","complex"
"What are the long-term macroeconomic effects of sustained quantitative easing and why do economists disagree?","complex"
"Write a Python class that implements a thread pool executor from scratch using only the threading module.","complex"
"Design a content moderation system for user-generated content at scale. Balance accuracy, speed, and appeals.","complex"
"How would you debug a memory leak in a long-running Python web service? Walk through your investigation step by step.","complex"
"Implement a suffix array construction algorithm in Python for efficient substring search.","complex"
